Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Nigeria,NGA,"Population, total",SP.POP.TOTL,1984,82526443.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1985,0.8624669990648657
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1985,5.913027459113934
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,868.6405405488935
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1985,46.193
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1985,2.83314546882475
Nigeria,NGA,"Population, total",SP.POP.TOTL,1985,84897973.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1986,0.8201423557555451
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1986,0.0609452742066878
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1986,628.2484537185358
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1986,45.953
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1986,2.71663331013825
Nigeria,NGA,"Population, total",SP.POP.TOTL,1986,87235953.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1987,0.7561167820471258
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1987,3.200125467029437
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,587.9566134340895
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1987,45.89
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1987,2.66463093630457
Nigeria,NGA,"Population, total",SP.POP.TOTL,1987,89591716.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1988,0.8370259146671124
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1988,7.334025487587155
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,539.5394683971656
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1988,45.834
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1988,2.67440624256127
Nigeria,NGA,"Population, total",SP.POP.TOTL,1988,92020090.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1989,0.8411641495774074
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1989,1.919381295895548
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,465.4880895321879
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1989,45.83
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1989,2.69210483580786
Nigeria,NGA,"Population, total",SP.POP.TOTL,1989,94531014.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,27.3
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1990,0.773377106941681
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,1990,29.12490529991107
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1990,11.776885934206732
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,556.3764491309016
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,45.733
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1990,2.70288804324942
Nigeria,NGA,"Population, total",SP.POP.TOTL,1990,97120925.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1991,35.2346000671387
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1991,0.8157457666384457
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,1991,28.945600974999174
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1991,0.358352601622002
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,596.9387957107224
